"pet_id","date","activity_type","duration_minutes"
5622,2022-05-31,"Play","78"
9357,2023-11-20,"Walking","46"
9191,2022-07-10,"Resting","44"
3040,2022-06-09,"Playing","15"
8244,2023-04-25,"Resting","20"
8868,2022-08-19,"Walking","22"
9187,2022-04-04,"Walk","-"
585,2022-11-22,"Resting","-"
6963,2023-06-12,"Walk","33"
2630,2022-10-29,"Resting","31"
4480,2022-05-02,"Playing","22"
7778,2023-08-19,"Play","-"
7485,2022-06-09,"Walking","47"
2783,2022-09-23,"Walking","6"
1963,2022-12-25,"Walking","-"
7891,2023-07-24,"Resting","55"
1370,2022-10-11,"Resting","72"
4592,2023-01-12,"Walking","46"
9632,2022-06-13,"Walking","5"
5421,2023-11-22,"Walk","76"
6467,2023-03-02,"Walking","79"
8510,2022-07-07,"Walking","22"
4410,2022-11-18,"Playing","6"
9187,2022-09-07,"Playing","-"
1441,2023-11-17,"Walking","85"
3936,2022-10-17,"Playing","90"
9946,2022-12-26,"Resting","74"
6725,2022-07-24,"Resting","-"
4480,2023-03-29,"Resting","-"
3946,2022-06-13,"Playing","69"
9030,2022-09-15,"Playing","38"
3147,2022-06-15,"Playing","12"
5216,2022-11-26,"Playing","48"
2794,2022-04-29,"Walking","56"
7022,2022-07-15,"Walking","32"
1216,2023-09-24,"Playing","-"
7788,2022-10-22,"Playing","72"
6338,2022-12-03,"Walking","27"
1006,2023-06-07,"Playing","47"
3414,2022-05-26,"Resting","2"
5091,2023-11-05,"Walking","28"
5198,2023-03-14,"Resting","57"
3884,2023-06-14,"Playing","28"
3057,2023-09-14,"Playing","62"
5406,2023-08-29,"Walking","6"
6315,2023-11-30,"Resting","-"
4583,2022-06-23,"Walking","73"
542,2023-03-28,"Playing","62"
5919,2022-07-15,"Walking","-"
3946,2022-05-11,"Walking","80"
5563,2023-05-22,"Playing","-"
3223,2023-09-18,"Walking","3"
3830,2022-04-11,"Playing","40"
8805,2023-11-03,"Playing","24"
2843,2023-06-27,"Walking","11"
7296,2023-03-30,"Walking","71"
2350,2023-11-12,"Resting","-"
3100,2022-07-27,"Walking","19"
4690,2023-12-06,"Walking","70"
8510,2023-07-19,"Resting","90"
8631,2023-05-20,"Resting","29"
1417,2023-05-30,"Walk","3"
9481,2022-12-28,"Playing","90"
4853,2023-03-02,"Playing","89"
4768,2023-01-06,"Playing","-"
473,2022-11-05,"Walking","53"
6901,2022-04-18,"Rest","20"
6454,2023-02-04,"Playing","66"
6102,2022-09-24,"Walk","28"
5323,2022-04-02,"Playing","72"
8353,2022-11-03,"Playing","83"
1949,2023-07-11,"Walking","82"
3410,2022-07-04,"Playing","10"
4539,2023-04-17,"Walking","-"
5747,2023-07-10,"Resting","50"
3225,2022-07-14,"Playing","-"
850,2022-10-16,"Resting","49"
3057,2022-10-27,"Resting","63"
5968,2022-10-12,"Walking","-"
9230,2022-12-30,"Playing","-"
6939,2022-05-15,"Walking","-"
3220,2023-07-06,"Walking","30"
9223,2023-09-26,"Resting","57"
8716,2023-01-07,"Walking","18"
7144,2022-06-17,"Playing","74"
5468,2022-11-08,"Resting","31"
1540,2022-12-17,"Resting","-"
4853,2023-03-04,"Rest","-"
337,2023-11-27,"Walking","21"
5622,2023-03-13,"Playing","62"
5336,2023-02-19,"Walking","61"
5890,2023-02-08,"Walking","80"
2755,2023-03-02,"Playing","31"
6102,2023-01-07,"Resting","39"
5301,2022-10-18,"Playing","-"
83,2022-05-25,"Playing","41"
5789,2022-12-18,"Playing","-"
2726,2023-09-23,"Resting","51"
2299,2022-06-23,"Playing","27"
5799,2022-04-01,"Walking","44"
9305,2023-12-03,"Playing","73"
5622,2023-01-25,"Resting","-"
9706,2022-04-08,"Playing","1"
8746,2022-07-23,"Playing","65"
5699,2023-04-26,"Rest","27"
4834,2023-01-07,"Playing","56"
2094,2023-04-01,"Walking","25"
5632,2022-12-29,"Playing","58"
7970,2023-03-22,"Resting","15"
3291,2022-08-03,"Resting","52"
8789,2022-12-06,"Resting","7"
2287,2022-06-09,"Resting","-"
5334,2023-10-07,"Walking","47"
5090,2022-05-15,"Resting","26"
337,2022-04-03,"Resting","20"
4480,2023-02-11,"Playing","-"
1906,2022-11-25,"Rest","2"
7022,2023-05-13,"Resting","77"
1309,2022-05-10,"Resting","45"
500,2022-10-02,"Resting","45"
3695,2023-10-20,"Resting","32"
7692,2023-11-13,"Playing","48"
2837,2023-12-24,"Playing","87"
6467,2022-08-06,"Walking","77"
2058,2022-04-19,"Resting","78"
3884,2023-10-22,"Playing","67"
8840,2022-10-03,"Playing","-"
8244,2023-11-16,"Playing","-"
5919,2022-06-25,"Playing","2"
7331,2022-07-22,"Walking","52"
5860,2023-11-16,"Walking","-"
3330,2023-10-12,"Resting","49"
3767,2023-08-26,"Walking","5"
8697,2023-07-26,"Walking","48"
5975,2022-04-19,"Playing","32"
831,2023-04-08,"Walking","5"
5336,2023-04-20,"Play","-"
9379,2022-06-28,"Playing","-"
6121,2023-01-16,"Resting","80"
1993,2022-05-04,"Playing","78"
8631,2022-04-28,"Resting","-"
2869,2023-09-04,"Resting","30"
1902,2022-08-31,"Walking","-"
1207,2022-05-09,"Walking","56"
9379,2023-04-26,"Playing","-"
9578,2023-08-30,"Playing","29"
7970,2022-07-19,"Walking","29"
1925,2022-06-25,"Walking","54"
8007,2023-03-20,"Resting","84"
1239,2023-03-12,"Resting","83"
9718,2022-11-17,"Resting","59"
6141,2022-08-26,"Resting","-"
1366,2022-11-25,"Walk","33"
5659,2022-07-05,"Playing","61"
5622,2023-09-20,"Play","10"
2429,2023-12-24,"Rest","9"
1047,2022-10-29,"Playing","39"
